Name,Year,Rank,Citizenship,Countrycode,Networthusbillion,Age,Sourceofwealth,IndustryAggregates,North,Region,Industry,Company,Deflator1996,Realnetworth,Realbillionaires, Gdpcurrentus 
Harry Triguboff,2009,468,Australia,AUS,1.5,76,,Financial,1,North America,Real Estate,,130.20833,1.1520001,1,"926,283,000,000.00"
Gina Rinehart,2009,376,Australia,AUS,1.899999976,55,,Resource Related,1,North America,Mining and metals,,130.20833,1.4592,1,"926,283,000,000.00"
James Packer,2009,261,Australia,AUS,2.5,41,,Non-Traded Sectors,1,North America,Media,,130.20833,1.9200001,1,"926,283,000,000.00"
Richard Pratt,2009,468,Australia,AUS,1.5,74,,Traded Sectors,1,North America,Consumer,,130.20833,1.1520001,1,"926,283,000,000.00"
Frank Lowy,2010,249,Australia,AUS,3.599999905,79,,Financial,1,North America,Real Estate,,131.77083,2.7320158,1,"1,141,270,000,000.00"
Gerald Harvey,2010,773,Australia,AUS,1.299999952,70,,Non-Traded Sectors,1,North America,"Retail, Restaurant",,131.77083,0.98656124,0,"1,141,270,000,000.00"
Michael Hintze,2010,880,Australia,AUS,1.100000024,56,,Financial,1,North America,Hedge funds,,131.77083,0.83478266,0,"1,141,270,000,000.00"
John Gandel,2010,400,Australia,AUS,2.400000095,75,,Financial,1,North America,Real Estate,,131.77083,1.821344,1,"1,141,270,000,000.00"
Harry Triguboff,2010,316,Australia,AUS,3,77,,Financial,1,North America,Real Estate,,131.77083,2.27668,1,"1,141,270,000,000.00"
Kerr Neilson,2010,437,Australia,AUS,2.200000048,60,,Financial,1,North America,Money Management,,131.77083,1.6695653,1,"1,141,270,000,000.00"
Lindsay Fox,2010,655,Australia,AUS,1.5,72,,other,1,North America,Other,,131.77083,1.13834,1,"1,141,270,000,000.00"
Andrew Forrest,2010,208,Australia,AUS,4.099999905,48,,Resource Related,1,North America,Mining and metals,,131.77083,3.1114626,1,"1,141,270,000,000.00"
James Packer,2010,258,Australia,AUS,3.5,42,,Non-Traded Sectors,1,North America,Media,,131.77083,2.6561265,1,"1,141,270,000,000.00"
Gina Rinehart,2010,488,Australia,AUS,2,56,,Resource Related,1,North America,Mining and metals,,131.77083,1.5177866,1,"1,141,270,000,000.00"
Solomon Lew,2010,937,Australia,AUS,1,65,,Non-Traded Sectors,1,North America,"Retail, Restaurant",,131.77083,0.7588933,0,"1,141,270,000,000.00"
Andrew Forrest,2011,145,Australia,AUS,6.699999809,49,Mining,Resource Related,1,North America,Mining and metals,,134.375,4.9860463,1,"1,388,070,000,000.00"
David Hains,2011,595,Australia,AUS,2,80,finance,Financial,1,North America,Money Management,,134.375,1.4883721,1,"1,388,070,000,000.00"
Leonard Buckeridge,2011,1057,Australia,AUS,1.100000024,74,construction,Non-Traded Sectors,1,North America,Constrution,,134.375,0.81860465,0,"1,388,070,000,000.00"
Lindsay Fox,2011,736,Australia,AUS,1.700000048,73,logistics,other,1,North America,Other,,134.375,1.2651163,1,"1,388,070,000,000.00"
Harry Triguboff,2011,323,Australia,AUS,3.400000095,78,real estate,Financial,1,North America,Real Estate,,134.375,2.5302327,1,"1,388,070,000,000.00"
Michael Hintze,2011,879,Australia,AUS,1.399999976,57,hedge funds,Financial,1,North America,Hedge funds,,134.375,1.0418605,1,"1,388,070,000,000.00"
Solomon Lew,2011,1057,Australia,AUS,1.100000024,65,Retail,Non-Traded Sectors,1,North America,"Retail, Restaurant",,134.375,0.81860465,0,"1,388,070,000,000.00"
Kerry Stokes,2011,595,Australia,AUS,2,70,"media, Caterpillar",Non-Traded Sectors,1,North America,Media,,134.375,1.4883721,1,"1,388,070,000,000.00"
James Packer,2011,244,Australia,AUS,4.400000095,43,media,Non-Traded Sectors,1,North America,Media,,134.375,3.2744186,1,"1,388,070,000,000.00"
Paul Ramsay,2011,833,Australia,AUS,1.5,75,"healthcare, media",Financial,1,North America,Real Estate,,134.375,1.1162791,1,"1,388,070,000,000.00"
Kerr Neilson,2011,488,Australia,AUS,2.400000095,61,Investments,Financial,1,North America,Money Management,,134.375,1.7860466,1,"1,388,070,000,000.00"
Stanley Perron,2011,1057,Australia,AUS,1.100000024,88,"real estate, cars",Financial,1,North America,Real Estate,,134.375,0.81860465,0,"1,388,070,000,000.00"
Frank Lowy,2011,244,Australia,AUS,4.400000095,80,malls,Financial,1,North America,Real Estate,,134.375,3.2744186,1,"1,388,070,000,000.00"
Gina Rinehart,2011,100,,AUS,9,57,,Resource Related,1,North America,Mining and metals,,134.375,6.6976743,1,"1,388,070,000,000.00"
Gerald Harvey,2011,1057,Australia,AUS,1.100000024,71,Retail,Non-Traded Sectors,1,North America,"Retail, Restaurant",,134.375,0.81860465,0,"1,388,070,000,000.00"
Chris Wallin,2011,938,Australia,AUS,1.299999952,0,Coal,Resource Related,1,North America,Mining and metals,,134.375,0.9674418,0,"1,388,070,000,000.00"
John Gandel,2011,323,Australia,AUS,3.400000095,76,real estate,Financial,1,North America,Real Estate,,134.375,2.5302327,1,"1,388,070,000,000.00"
David Hains,2012,634,Australia,AUS,2,81,Finance,Financial,1,North America,Money Management,,136.71875,1.4628571,1,"1,534,430,000,000.00"
Harry Triguboff,2012,276,Australia,AUS,4,79,Real Estate,Financial,1,North America,Real Estate,,136.71875,2.9257143,1,"1,534,430,000,000.00"
John Gandel,2012,358,Australia,AUS,3.200000048,77,Shopping Malls,Financial,1,North America,Real Estate,,136.71875,2.3405714,1,"1,534,430,000,000.00"
Gina Rinehart,2012,29,,AUS,18,58,,Resource Related,1,North America,Mining and metals,,136.71875,13.165714,1,"1,534,430,000,000.00"
Kerr Neilson,2012,601,Australia,AUS,2.099999905,62,Finance,Financial,1,North America,Money Management,,136.71875,1.5359999,1,"1,534,430,000,000.00"
Stanley Perron,2012,854,Australia,AUS,1.5,89,Real Estate,Financial,1,North America,Real Estate,,136.71875,1.0971428,1,"1,534,430,000,000.00"
Solomon Lew,2012,1075,Australia,AUS,1.100000024,67,Retail,Non-Traded Sectors,1,North America,"Retail, Restaurant",,136.71875,0.80457145,0,"1,534,430,000,000.00"
Michael Hintze,2012,913,Australia,AUS,1.399999976,58,Finance,Financial,1,North America,Money Management,,136.71875,1.0239999,1,"1,534,430,000,000.00"
Paul Ramsay,2012,764,Australia,AUS,1.700000048,76,Hospitals,Financial,1,North America,Real Estate,,136.71875,1.2434286,1,"1,534,430,000,000.00"
Kerry Stokes,2012,634,Australia,AUS,2,71,Media,Non-Traded Sectors,1,North America,Media,,136.71875,1.4628571,1,"1,534,430,000,000.00"
Andrew Forrest,2012,173,Australia,AUS,5.800000191,50,Mining,Resource Related,1,North America,Mining and metals,,136.71875,4.2422857,1,"1,534,430,000,000.00"
James Packer,2012,223,Australia,AUS,4.699999809,44,Gaming,Non-Traded Sectors,1,North America,"Retail, Restaurant",,136.71875,3.437714,1,"1,534,430,000,000.00"
Leonard Buckeridge,2012,1014,Australia,AUS,1.25,76,Construction,Non-Traded Sectors,1,North America,Constrution,,136.71875,0.9142857,0,"1,534,430,000,000.00"
Lindsay Fox,2012,804,Australia,AUS,1.600000024,74,Logistics,other,1,North America,Other,,136.71875,1.1702857,1,"1,534,430,000,000.00"
Angela Bennett and Michael Wright,2012,546,Australia,AUS,2.299999952,0,Mining,Resource Related,1,North America,Mining and metals,,136.71875,1.6822857,1,"1,534,430,000,000.00"
Ivan Glasenberg,2012,125,Australia,AUS,7.300000191,55,Commodities,Resource Related,1,North America,Mining and metals,,136.71875,5.339429,1,"1,534,430,000,000.00"
Frank Lowy,2012,242,Australia,AUS,4.400000095,81,Shopping Malls,Financial,1,North America,Real Estate,,136.71875,3.2182858,1,"1,534,430,000,000.00"
Chris Wallin,2012,960,Australia,AUS,1.299999952,0,Coal,Resource Related,1,North America,Mining and metals,,136.71875,0.9508571,0,"1,534,430,000,000.00"
Gerald Harvey,2013,1342,Australia,AUS,1,73,retail,Non-Traded Sectors,1,North America,"Retail, Restaurant",,138.80208,0.7204503,0,"1,560,370,000,000.00"
Ivan Glasenberg,2013,175,Australia,AUS,6.699999809,56,commodities,Resource Related,1,North America,Mining and metals,,138.80208,4.827017,1,"1,560,370,000,000.00"
Andrew Forrest,2013,211,Australia,AUS,5.699999809,51,mining,Resource Related,1,North America,Mining and metals,,138.80208,4.1065664,1,"1,560,370,000,000.00"
Kerr Neilson,2013,527,Australia,AUS,2.700000048,63,finance,Financial,1,North America,Money Management,,138.80208,1.9452158,1,"1,560,370,000,000.00"
David Hains,2013,641,Australia,AUS,2.299999952,82,finance,Financial,1,North America,Money Management,,138.80208,1.6570357,1,"1,560,370,000,000.00"
Paul Ramsay,2013,589,Australia,AUS,2.5,77,hospitals,Financial,1,North America,Real Estate,,138.80208,1.8011258,1,"1,560,370,000,000.00"
Harry Triguboff,2013,276,Australia,AUS,4.5,80,real estate,Financial,1,North America,Real Estate,,138.80208,3.2420263,1,"1,560,370,000,000.00"
Kerry Stokes,2013,641,Australia,AUS,2.299999952,72,media,Non-Traded Sectors,1,North America,Media,,138.80208,1.6570357,1,"1,560,370,000,000.00"
Huang Bingwen,2013,1342,Australia,AUS,1,59,printing,Non-Traded Sectors,1,North America,Media,,138.80208,0.7204503,0,"1,560,370,000,000.00"
