Name,Country,Region,DOB,Industry,IndustryType,Company,SelfMade,Type,Gender,Generation,CompanyAcquired
N. Murray Edwards,Canada,North America,1960,Energy,Resource Related,Canadian Natural Resources,self-made,privatized and resources,male,Unknown,new
N.R. Narayana Murthy,India,South Asia,1947,Technology-Computer,New Sectors,Infosys,self-made,founder non-finance,male,Unknown,new
Nadhmi Auchi,United Kingdom,Europe,1938,Real Estate,Financial,General Mediterranean Holding,self-made,self-made finance,male,Unknown,new
Naguib Sawiris,Egypt,Middle East/North Africa,1955,Media,Non-Traded Sectors,Orascom,inherited,inherited,male,inherited from father,new
Najib Mikati,Lebanon,Middle East/North Africa,1956,Media,Non-Traded Sectors,Investcom,self-made,privatized and resources,male,Unknown,new
Nan Cunhui,China,East Asia,1964,Technology-Computer,New Sectors,Chint Group,self-made,executive,male,Unknown,new
Nancy Lerner,United States,North America,1962,Money Management,Financial,Unknown,Unknown,Unknown,female,Unknown,Unknown
Nancy Walton Laurie,United States,North America,1952,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited,inherited,female,inherited from father, new
Nandan Nilekani,India,South Asia,1956,Technology-Computer,New Sectors,Infosys,self-made,founder non-finance,male,Unknown,new
Naresh Goyal,India,South Asia,1950,Other,other,Unknown,Unknown,Unknown,male,Unknown,Unknown
Naruatsu Baba,Japan,East Asia,1978,Technology-Computer,New Sectors,Colopl,self-made,founder non-finance,male,Unknown,new
Nassef Sawiris,Egypt,Middle East/North Africa,1962,Constrution,Non-Traded Sectors,Orascom,inherited,inherited,male,inherited from father,new
Nasser Al-Kharafi,Kuwait,Middle East/North Africa,1944,Constrution,Non-Traded Sectors,Kharafi Group,inherited,inherited,male,inherited from father,new
Nasser Khalili,United Kingdom,Europe,1946,Real Estate,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Nathan Kirsh,Swaziland,Sub-Saharan Africa,1932,Real Estate,Financial,Jetro Holdings,self-made,executive,male,Unknown,aquired
Nathaniel Rothschild,United Kingdom,Europe,1972,Money Management,Financial,?N M Rothschild & Sons,inherited,inherited,male,Fifth generation or longer,new
Nazek Hariri,Lebanon,Middle East/North Africa,Unknown,Diversified financial,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Neal Patterson,United States,North America,1950,Technology-Medical,New Sectors,Cerner Corporation,self-made,founder non-finance,male,Unknown,new
Neide Helena de Moraes,Brazil,Latin America,1955,Diversified financial,Financial,Votorantim Group,inherited,inherited,female,inherited from father,new
Neil Bluhm,United States,North America,1938,Real Estate,Financial,JMB Realty,self-made,self-made finance,male,Unknown,new
Nelson Peltz,United States,North America,1943,Money Management,Financial,Trian Fund Management,self-made,self-made finance,male,Unknown,new
Nerijus Numavicius,Lithuania,Europe,1968,"Retail, Restaurant",Non-Traded Sectors,VP Group,self-made,founder non-finance,male,Unknown,new
Nevaldo Rocha,Brazil,Latin America,1929,"Retail, Restaurant",Non-Traded Sectors,Riachuelo,self-made,founder non-finance,male,Unknown,new
Nezih Barut,Turkey,Middle East/North Africa,1953,Technology-Medical,New Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Ng Teng Fong,Singapore,East Asia,1929,Real Estate,Financial,Far East Organization,self-made,self-made finance,male,Unknown,new
Ni Zhaoxing,China,East Asia,1956,Real Estate,Financial,Zhongrong Group,self-made,self-made finance,male,Unknown,new
Nicholas Pritzker,United States,North America,1944,Real Estate,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
"Nicholas Pritzker, II.",United States,North America,1944,Real Estate,Financial,Hyatt,inherited,inherited,male,inherited from father,aquired
Nicholas Woodman,United States,North America,1976,Consumer,Traded Sectors,GoPro,self-made,founder non-finance,male,Unknown,new
Nicky Oppenheimer,South Africa,Sub-Saharan Africa,1946,Mining and metals,Resource Related,De Beers,inherited,inherited,male,Third generation,new 
Nicola Bulgari,Italy,Europe,1941,Consumer,Traded Sectors,Bulgari,inherited,inherited,male,Fifth generation or longer,new
Nicolas Berggruen,United States,North America,1962,Money Management,Financial,Alpha Investment Management,self-made,self-made finance,male,Unknown,new
Nicolas Hayek,Switzerland,Europe,1929,Consumer,Traded Sectors,Swatch Group,self-made,founder non-finance,male,Unknown,merger
Nicolas Puech,France,Europe,1943,Consumer,Traded Sectors,Hermes,inherited,inherited,male,Fifth generation or longer,new
Niels Peter Louis-Hansen,Denmark,Europe,1948,Technology-Medical,New Sectors,Coloplast,inherited,inherited,male,inherited from father,new
Nihat Ozdemir,Turkey,Middle East/North Africa,1951,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Nikita Mishin,Russia,Europe,1972,Real Estate,Financial,N-Trans,self-made,self-made finance,male,Unknown,new
Niklas Herlin,Finland,Europe,1964,Non-consumer industrial,Traded Sectors,Kone Corporation,inherited,inherited,male,Fourth generation,aquired
Nikolai Maximov,Russia,Europe,1958,Money Management,Financial,Maxi Group,self-made,self-made finance,male,Unknown,new
Nikolai Sarkisov,Russia,Europe,1969,Hedge funds,Financial,RESO-Garantiya,self-made,self-made finance,male,Unknown,new
Nikolai Tsvetkov,Russia,Europe,1961,Money Management,Financial,Financial Corporation Uralsib,self-made,self-made finance,male,Unknown,new
Nimesh Kampani,India,South Asia,1947,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Nina Wang,Hong Kong,East Asia,Unknown,Real Estate,Financial,Chinachem Group,inherited,inherited,female,spouse or widow,new
Niranjan Hiranandani,India,South Asia,1950,Real Estate,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Nirav Modi,India,South Asia,1971,Consumer,Traded Sectors,Firestar International,self-made,founder non-finance,male,Unknown,new
