Name,Country,Region,DOB,Industry,IndustryType,Company,SelfMade,Type,Gender,Generation,CompanyAcquired
A Jerrold Perenchio,United States,North America,1931,Media,Non-Traded Sectors,Univision,self-made,executive,male,Unknown,aquired
Abdul Al Rahman  Al Jeraisy,Saudi Arabia,Middle East/North Africa,Unknown,Consumer,Traded Sectors,Jeraisy Group,self-made,founder non-finance,male,Unknown,new
Abdul Aziz Al Ghurair,United Arab Emirates,Middle East/North Africa,1954,Money Management,Financial,Al-Ghurair Group,inherited,inherited,male,inherited from father,new
Abdulaziz Bin Hamad Algosaibi,Saudi Arabia,Middle East/North Africa,1934,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Abdulla Al Futtaim,United Arab Emirates,Middle East/North Africa,Unknown,"Retail, Restaurant",Non-Traded Sectors,Al-Futtaim Group,inherited,inherited,male,inherited from father,new
Abdulla bin Ahmad Al Ghurair,United Arab Emirates,Middle East/North Africa,Unknown,Money Management,Financial,Al-Ghurair Group,inherited,inherited,male,inherited from father,new
Abdullah Al Rajhi,Saudi Arabia,Middle East/North Africa,Unknown,Money Management,Financial,Al Rajhi bank,self-made,self-made finance,male,Unknown,new
Abdulsamad Rabiu,Nigeria,Sub-Saharan Africa,1960,Consumer,Traded Sectors,BUA Group,self-made,founder non-finance,male,Unknown,new
Abigail Johnson,United States,North America,1962,Money Management,Financial,Fidelity Investments,inherited,inherited,female,Third generation,new
Abilio dos Santos Diniz,Brazil,Latin America,1937,"Retail, Restaurant",Non-Traded Sectors,Companhia Brasileira de Distribui?ao,inherited,inherited,male,inherited from father,new
Achille Maramotti,Italy,Europe,1927,Consumer,Traded Sectors,MaxMara,self-made,founder non-finance,male,Unknown,new
Achmad Hamami,Indonesia,East Asia,1931,Non-consumer industrial,Traded Sectors,Trakindo Utama,self-made,founder non-finance,male,Unknown,new
Adi Godrej,India,South Asia,1943,Money Management,Financial,Godrej Group,inherited,inherited,male,Third generation,new
Adolf Merckle,Germany,Europe,1935,Technology-Medical,New Sectors,Ratiopharm,inherited,inherited,male,Fourth generation,new
Adrian Swire,United Kingdom,Europe,1931,Diversified financial,Financial,Swire,inherited,inherited,male,Fourth generation,new
Aerin Lauder Zinterhofer,United States,North America,1970,Consumer,Traded Sectors,Estée Lauder,inherited,inherited,female,Third generation,new
Ahmet Calik,Turkey,Middle East/North Africa,1959,Energy,Resource Related,Calik Holding,self-made,privatized and resources,male,Unknown,new
Ahmet Nazif Zorlu,Turkey,Middle East/North Africa,1945,Technology-Computer,New Sectors,Zorlu Holding,self-made,self-made finance,male,Unknown,new
Ahsen Ozokur,Turkey,Middle East/North Africa,1951,Consumer,Traded Sectors,Yildiz Holding,inherited,inherited,female,inherited from father,new
Airat Shaimiev,Russia,Europe,1962,Energy,Resource Related,TAIF Group,self-made,privatized and resources,male,Unknown,new
Ajay Kalsi,India,South Asia,1961,Energy,Resource Related,Indusgas,self-made,privatized and resources,male,Unknown,new
Ajay Piramal,India,South Asia,1956,Technology-Medical,New Sectors,Piramel,self-made,founder non-finance,male,Unknown,aquired
Akihiko Otsuka,Japan,East Asia,Unknown,Technology-Medical,New Sectors,Otsuka Holdings,inherited,inherited,male,inherited from father,new
Akio Nitori,Japan,East Asia,1944,"Retail, Restaurant",Non-Traded Sectors,Nitori,self-made,founder non-finance,male,Unknown,new
Akira Mori,Japan,East Asia,1934,Real Estate,Financial,Mori Building,inherited,inherited,male,inherited from father,new
Alain and Gerard Wertheimer,France,Europe,Unknown,Consumer,Traded Sectors,Unknown,Unknown,inherited,married couple,Unknown,Unknown
Alain Bouchard,Canada,North America,1950,"Retail, Restaurant",Non-Traded Sectors,Alimentation Couche-Tard,self-made,founder non-finance,male,Unknown,new
Alain Merieux,France,Europe,1938,Technology-Medical,New Sectors,Institut Merieux,inherited,inherited,male,Third generation,new
Alain Taravella,France,Europe,1948,Real Estate,Financial,Altarea Cogedim,self-made,self-made finance,male,Unknown,new
Alain Wertheimer,France,Europe,1949,Consumer,Traded Sectors,Chanel,inherited,inherited,male,Third generation,new
Alan Casden,United States,North America,1946,Real Estate,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Alan Gerry,United States,North America,1930,Media,Non-Traded Sectors,Cablevision Industries,self-made,founder non-finance,male,Unknown,new
Alan Howard,United Kingdom,Europe,1964,Hedge funds,Financial,Brevan Howard Asset Management,self-made,self-made finance,male,Unknown,new
Alan Rydge,Australia,North America,1953,Media,Non-Traded Sectors,AHL,inherited,inherited,male,inherited from father,new
Albert Blokker,Belgium,Europe,1946,"Retail, Restaurant",Non-Traded Sectors,Blokker Holding,inherited,inherited,male,Third generation,new
Albert Frere,Belgium,Europe,1926,Money Management,Financial,Groupe Bruxelles Lambert,self-made,self-made finance,male,Unknown,aquired
Albert Gubay,United Kingdom,Europe,1926,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Albert Shigaboutdinov,Russia,Europe,1955,Energy,Resource Related,TAIF Group,self-made,privatized and resources,male,Unknown,new
Albert Ueltschi,United States,North America,1918,Other,other,FlightSafety International,self-made,founder non-finance,male,Unknown,new
Albert von Thurn und Taxis,Germany,Europe,1984,Money Management,Financial,von Thurn and Taxis family,inherited,inherited,male,Fifth generation or longer,new
Albert Yeung,Hong Kong,East Asia,1944,Money Management,Financial,Emperor Group,self-made,self-made finance,male,Unknown,new
Alberto Alcocer,Spain,Europe,1943,Money Management,Financial,Construcciones y Contratas,self-made,self-made finance,male,Unknown,aquired
Alberto Bailleres Gonzalez,Mexico,Latin America,1933,Mining and metals,Resource Related,Penoles,inherited,inherited,male,inherited from father,privatization
Alberto Benavides,Peru,Latin America,1921,Mining and metals,Resource Related,Unknown,Unknown,Unknown,male,Unknown,Unknown
Alberto Bombassei,Italy,Europe,1941,Consumer,Traded Sectors,Brembo SpA,self-made,executive,male,Unknown,new
Alberto Cortina,Spain,Europe,1946,Money Management,Financial,Construcciones y Contratas,self-made,self-made finance,male,Unknown,aquired
Alberto Roemmers,Argentina,Latin America,1958,Technology-Medical,New Sectors,Laboratorios Roemmers,inherited,inherited,male,inherited from father,new
Alberto Vilar,United States,North America,Unknown,Money Management,Financial,Amerindo Investment Advisors,self-made,self-made finance,male,Unknown,new
Alec Gores,United States,North America,1953,Private equity/leveraged buyout,Financial,The Gores Group,self-made,self-made finance,male,Unknown,new
Alejandro Santo Domingo Davila,Colombia,Latin America,1977,Consumer,Traded Sectors,Santo Domingo Group,inherited,inherited,male,inherited from father,aquired
Alex Beard,United Kingdom,Europe,1968,Mining and metals,Resource Related,Glencore Xstrata,self-made,privatized and resources,male,Unknown,new
Alexander Abramov,Russia,Europe,1959,Energy,Resource Related,EvrazHolding,self-made,privatized and resources,male,Unknown,aquired
Alexander Dzhaparidze,Russia,Europe,1956,Energy,Resource Related,Petroalliance,self-made,privatized and resources,male,Unknown,new
Alexander Frolov,Russia,Europe,1965,Mining and metals,Resource Related,Evraz,self-made,privatized and resources,male,Unknown,aquired
Alexander Girda,Russia,Europe,1962,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Alexander Knaster,United States,North America,1959,Energy,Resource Related,Pamplona Capital Management,self-made,privatized and resources,male,Unknown,new
Alexander Lebedev,Russia,Europe,1960,Media,Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Alexander Lutsenko,Russia,Europe,1963,Consumer,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Alexander Machkevich,Israel,Middle East/North Africa,1954,Mining and metals,Resource Related,Eurasion natural Resources Corporation,self-made,privatized and resources,male,Unknown,new
Alexander Mamut,Russia,Europe,1961,Money Management,Financial,Livejournal,self-made,privatized and resources,male,Unknown,new
Alexander Mashkevich,Kazakhstan,South Asia,1955,Mining and metals,Resource Related,Unknown,Unknown,Unknown,male,Unknown,Unknown
Alexander Nesis,Russia,Europe,1963,Mining and metals,Resource Related,ICT Group,self-made,privatized and resources,male,Unknown,new
Alexander Ponomarenko,Russia,Europe,1965,Real Estate,Financial,NCSP Group,self-made,privatized and resources,male,Unknown,privatization
Alexander Putilov,Russia,Europe,1953,Energy,Resource Related,Eurasia Drilling Company,self-made,privatized and resources,male,Unknown,subsidiary
Alexander Rovt,United States,North America,1953,Consumer,Traded Sectors,IBE Trade,self-made,executive,male,Unknown,aquired
Alexander Shchukin,Russia,Europe,1951,Mining and metals,Resource Related,Unknown,Unknown,Unknown,male,Unknown,Unknown
Alexander Shnaider,Canada,North America,1969,Non-consumer industrial,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Alexander Skorobogatko,Russia,Europe,1968,Real Estate,Financial,NCSP Group,self-made,privatized and resources,male,Unknown,privatization
Alexander Spanos,United States,North America,1924,Real Estate,Financial,A. G. Spanos Companies,self-made,self-made finance,male,Unknown,new
Alexander Svetakov,Russia,Europe,1968,Money Management,Financial,Absolut,self-made,self-made finance,male,Unknown,new
Alexander Tedja,Indonesia,East Asia,1946,Real Estate,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Alexander Vagin,Russia,Europe,1959,Mining and metals,Resource Related,Unknown,Unknown,Unknown,male,Unknown,Unknown
Alexander Vik,Norway,Europe,1955,Diversified financial,Financial,Scandinavia Fund ,self-made,self-made finance,male,Unknown,aquired
Alexandra Schorghuber,Germany,Europe,1959,Real Estate,Financial,Schorghuber Group,inherited,inherited,female,spouse or widow,new
Alexandre Grendene Bartelle,Brazil,Latin America,1950,Consumer,Traded Sectors,Grendene,self-made,founder non-finance,male,Unknown,new
Alexei Ananyev,Russia,Europe,1965,Money Management,Financial,Technoserv,self-made,self-made finance,male,Unknown,new
Alexei Bogachev,Russia,Europe,1971,"Retail, Restaurant",Non-Traded Sectors,Magnit,self-made,executive,male,Unknown,new
Alexei Kuzmichev,Russia,Europe,1965,Energy,Resource Related,Alfa Group,self-made,privatized and resources,male,Unknown,new
Alexei Kuzmichov,Russia,Europe,1963,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Alexei Mordashov,Russia,Europe,1966,Energy,Resource Related,Severstal,self-made,privatized and resources,male,Unknown,privatization
Alexei Semin,Russia,Europe,1968,Real Estate,Financial,Obrazovanie,self-made,self-made finance,male,Unknown,new
Alexey Mordashov,Russia,Europe,1966,Non-consumer industrial,Resource Related,Unknown,Unknown,Unknown,male,Unknown,Unknown
Alfonso Romo Garza,Mexico,Latin America,Unknown,Money Management,Financial,Pulsar International,self-made,self-made finance,male,Unknown,new
Alfred Heineken,Netherlands,Europe,Unknown,Consumer,Traded Sectors,Heineken International,inherited,inherited,female,inherited from father,new
Alfred James Clark,United States,North America,1928,Constrution,Non-Traded Sectors,Clark Enterprises,self-made,executive,male,Unknown,aquired
Alfred Lerner,United States,North America,Unknown,Other,other,MBNA,self-made,executive,male,Unknown,subsidiary
Alfred Mann,United States,North America,1926,Technology-Medical,New Sectors,Spectrolab,self-made,founder non-finance,male,Unknown,new
Alfred Oetker,Germany,Europe,1967,Consumer,Traded Sectors,Oetker-Gruppe,inherited,inherited,male,Fourth generation,new
Alfred Taubman,United States,North America,1925,Real Estate,Financial,Taubman Centers,self-made,self-made finance,male,Unknown,new
Alfred von Oppenheim,Germany,Europe,Unknown,Money Management,Financial,?Sal. Oppenheim,inherited,inherited,male,Fourth generation,new
Alfred West Jr,United States,North America,1943,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Alfredo Egydio Arruda Villela Filho,Brazil,Latin America,1970,Money Management,Financial,Itausa Investimentos Itau SA,inherited,inherited,male,inherited from father,new
Alfredo Harp Helu,Mexico,Latin America,1944,Money Management,Financial,Banamex,self-made,self-made finance,male,Unknown,aquired
Ali Ibrahim Agaoglu,Turkey,Middle East/North Africa,1954,Constrution,Non-Traded Sectors,Agaoglu Group,self-made,privatized and resources,male,Unknown,new
Ali Metin Kazanci,Turkey,Middle East/North Africa,1935,Energy,Resource Related,Unknown,Unknown,Unknown,male,Unknown,Unknown
Alice Walton,United States,North America,1949,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited,inherited,female,inherited from father, new
Alicia Koplowitz,Spain,Europe,1953,Constrution,Non-Traded Sectors,Construcciones y Contratas,inherited,inherited,female,inherited from father,aquired
Alijan Ibragimov,Kazakhstan,South Asia,1954,Mining and metals,Resource Related,Eurasion natural Resources Corporation,self-made,privatized and resources,male,Unknown,new
Aliko Dangote,Nigeria,Sub-Saharan Africa,1958,Consumer,Traded Sectors,Dangote Group,self-made,founder non-finance,male,Unknown,new
Alisher Usmanov,Russia,Europe,1954,Energy,Resource Related,Metalloinvest,self-made,privatized and resources,male,Unknown,new
Allan Gray,South Africa,Sub-Saharan Africa,1938,Other,Financial,Allan Gray,self-made,self-made finance,male,Unknown,new
Allan Slaight,Canada,North America,1933,Media,Non-Traded Sectors,Slaight Communications,self-made,executive,male,Unknown,aquired
Allan Wong,Hong Kong,East Asia,1950,Technology-Computer,New Sectors,VTech Holding,self-made,founder non-finance,male,Unknown,new
Aloke Lohia,India,South Asia,1959,Non-consumer industrial,Traded Sectors,Indorama Ventures,self-made,founder non-finance,male,Unknown,new
Aloys Wobben,Germany,Europe,1952,Technology-Computer,New Sectors,Enercon,self-made,privatized and resources,male,Unknown,new
Aloysio de Andrade Faria,Brazil,Latin America,1921,Money Management,Financial,Banco Real,inherited,inherited,male,inherited from father,new
Alvaro Saieh Bendeck,Chile,Latin America,1950,Money Management,Financial,Corpbanca,self-made,self-made finance,male,Unknown,new
Amalia Lacroze de Fortabat,Argentina,Latin America,Unknown,Constrution,Non-Traded Sectors,Loma Negra,inherited,inherited,female,spouse or widow,new
Amancio Ortega,Spain,Europe,1936,Consumer,Traded Sectors,Zara,self-made,founder non-finance,male,Unknown,new
Amar Bose,United States,North America,1929,Consumer,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Americo Amorim,Portugal,Europe,1935,Mining and metals,Resource Related,Corticeira Amorim,inherited,inherited,male,Third generation,new
Amos Hosetter Jr,United States,North America,1937,Media,Non-Traded Sectors,Continental Cablevision,self-made,founder non-finance,male,Unknown,new
An Kang,China,East Asia,1949,Technology-Medical,New Sectors,Hualan Biological Engineering,self-made,founder non-finance,male,Unknown,new
Ana Lucia de Mattos Barretto Villela,Brazil,Latin America,1974,Money Management,Financial,Itausa Investimentos Itau SA,inherited,inherited,female,inherited from father,new
Ana Maria Brescia Cafferata,Peru,Latin America,1925,Mining and metals,Resource Related,Grupo Prescia (now Pandora Group),inherited,inherited,female,inherited from father,new
Ana Maria Marcondes Penido Sant'Anna,Brazil,Latin America,1956,Other,other,CCR Group,inherited,inherited,female,inherited from father,new
Anacleto Angelini,Chile,Latin America,1914,Energy,Resource Related,Angelini Group,self-made,privatized and resources,male,Unknown,new
Anand Jain,India,South Asia,1957,Non-consumer industrial,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Ananda Krishnan,Malaysia,East Asia,1939,Media,Non-Traded Sectors,Usaha Tegas Sdn Bhd,self-made,founder non-finance,male,Unknown,new
Anas Sefrioui,Morocco,Middle East/North Africa,1958,Real Estate,Financial,Douja Promotion Groupe Addoha,self-made,self-made finance,male,Unknown,new
Anatoly Lomakin,Russia,Europe,1953,Consumer,Traded Sectors,International Potassium Company (MMK),self-made,privatized and resources,male,Unknown,privatization
Anatoly Sedykh,Russia,Europe,1965,Energy,Resource Related,United Metallurigcal Company,self-made,privatized and resources,male,Unknown,new
Anatoly Skurov,Russia,Europe,1953,Mining and metals,Resource Related,Unknown,Unknown,Unknown,male,Unknown,Unknown
Anders Holch Povlsen,Denmark,Europe,1973,"Retail, Restaurant",Non-Traded Sectors,Bestseller,inherited,inherited,male,inherited from father,new
Andre Esteves,Brazil,Latin America,1969,Money Management,Financial,BTG Pactual,self-made,self-made finance,male,Unknown,new
Andre Kudelski,Switzerland,Europe,Unknown,Technology-Computer,New Sectors,Kudelski Group,inherited,inherited,male,inherited from father,new
Andrea Della Valle,Italy,Europe,1966,Consumer,Traded Sectors,Tod's,self-made,executive,male,Unknown,new
Andrea Reimann-Ciardelli,United States,North America,1957,Consumer,Traded Sectors,Benckiser,inherited,inherited,female,inherited from father,aquired
Andreas Halvorsen,Norway,Europe,1962,Hedge funds,Financial,Viking Global Equities,self-made,self-made finance,male,Unknown,new
Andreas Struengmann,Germany,Europe,1950,Technology-Medical,New Sectors,Hexal AG,self-made,founder non-finance,male,Unknown,new
Andreas Strungmann,Germany,Europe,1950,Technology-Medical,New Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Andreas von Bechtolsheim,Germany,Europe,1956,Technology-Computer,New Sectors,Sun Microsystems,self-made,founder non-finance,male,Unknown,new
Andrei Bokarev,Russia,Europe,1967,Energy,Resource Related,CJSC Transmashholding,self-made,privatized and resources,male,Unknown,new
Andrei Borodin,Russia,Europe,1968,Money Management,Financial,Unknown,Unknown,Unknown,male,Unknown,Unknown
Andrei Filatov,Russia,Europe,1972,Real Estate,Financial,N-Trans,self-made,self-made finance,male,Unknown,new
Andrei Guriev,Russia,Europe,1960,Consumer,Traded Sectors,Apatit,self-made,privatized and resources,male,Unknown,privatization
Andrei Klyamko,Russia,Europe,1962,Energy,Resource Related,Smart-Holding,self-made,privatized and resources,male,Unknown,new
Andrei Komarov,Russia,Europe,1967,Non-consumer industrial,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Andrei Kosogov,Russia,Europe,1961,Energy,Resource Related,Alfa Group,self-made,privatized and resources,male,Unknown,new
Andrei Kozitsyn,Russia,Europe,1961,Mining and metals,Resource Related,Urals mining and Metals Company,self-made,privatized and resources,male,Unknown,privatization
Andrei Kuzyaev,Russia,Europe,1966,Media,Non-Traded Sectors,Perm Financial Industrial Group (PFIG),self-made,privatized and resources,male,Unknown,new
Andrei Melnichenko,Russia,Europe,1972,Energy,Resource Related,Unknown,Unknown,Unknown,male,Unknown,Unknown
Andrei Molchanov,Russia,Europe,1972,Constrution,Non-Traded Sectors,Open Joint Stock Company,self-made,privatized and resources,male,Unknown,privatization
Andrei Rappoport,Russia,Europe,1964,Diversified financial,Financial,RAO UES,self-made,self-made finance,male,Unknown,aquired
Andrei Rogachev,Russia,Europe,1964,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Andrei Skoch,Russia,Europe,1966,Mining and metals,Resource Related,Metallionvest,self-made,privatized and resources,male,Unknown,new
Andrej Babis,Czech Republic,Europe,1955,Consumer,Traded Sectors,Agrofert,self-made,executive,male,Unknown,new
Andrew & Peggy Cherng,United States,North America,Unknown,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,married couple,Unknown,Unknown
Andrew and Peggy Cherng,United States,North America,Unknown,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,married couple,Unknown,Unknown
Andrew Beal,United States,North America,1953,Money Management,Financial,Beal Bank,self-made,self-made finance,male,Unknown,new
Andrew Forrest,Australia,North America,1962,Mining and metals,Resource Related,Fortescue Metals Group,self-made,privatized and resources,male,Unknown,new
Andrew Gotianun,Philippines,East Asia,1928,Real Estate,Financial,Filinvest Development Corporation,self-made,self-made finance,male,Unknown,new
Andrew McKelvey,United States,North America,Unknown,Technology-Computer,New Sectors,Monster Worldwide,self-made,founder non-finance,male,Unknown,new
Andrew Tan,Philippines,East Asia,1953,Money Management,Financial,Alliance Global Group,self-made,self-made finance,male,Unknown,new
Andrey Melnichenko,Russia,Europe,1973,Energy,Resource Related,MDM Bank,self-made,privatized and resources,male,Unknown,new
Andrey Verevskiy,Ukraine,Europe,1975,Consumer,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Andronico Luksic,Chile,Latin America,1927,Mining and metals,Resource Related,Antofagasta,self-made,privatized and resources,male,Unknown,aquired
Aneel Bhusri,United States,North America,1966,Technology-Computer,New Sectors,Greylock Partners,self-made,executive,male,Unknown,new
Angela Bennett,Australia,North America,1945,Mining and metals,Resource Related,Wright Prospecting,inherited,inherited,female,inherited from father,new
Angela Bennett and Michael Wright,Australia,North America,Unknown,Mining and metals,Resource Related,Unknown,Unknown,Unknown,married couple,Unknown,Unknown
Angela Leong,Hong Kong,East Asia,1962,"Retail, Restaurant",Non-Traded Sectors,"Sociedade de Turismo e Divers?es de Macau, SA",inherited,inherited,female,spouse or widow,new
Anil Agarwal,India,South Asia,1954,Mining and metals,Resource Related,Vedanta Resources,self-made,privatized and resources,male,Unknown,new
Anil Ambani,India,South Asia,1960,Media,Non-Traded Sectors,Reliance,inherited,inherited,male,Unknown,new
Anita Zucker,United States,North America,1952,Non-consumer industrial,Traded Sectors,Hudson's Bay Company,inherited,inherited,female,spouse or widow,privatization
Ann Kroenke,United States,North America,Unknown,Consumer,Traded Sectors,Walmart,inherited,inherited,female,inherited from father, new
Ann Walton Kroenke,United States,North America,1950,"Retail, Restaurant",Non-Traded Sectors,Walmart,inherited,inherited,female,inherited from father,new
Anne Beaufour,France,Europe,1964,Technology-Medical,New Sectors,Ipsen,inherited,inherited,female,Third generation,new
Anne Cox Chambers,United States,North America,1920,Media,Non-Traded Sectors,Cox Enterprises,inherited,inherited,female,inherited from father,aquired
Anne Gittinger,United States,North America,1936,"Retail, Restaurant",Non-Traded Sectors,Nordstrom,inherited,inherited,female,Third generation,new
Anne Windfohr Marion,United States,North America,1940,Energy,Resource Related,Unknown,Unknown,Unknown,female,Unknown,Unknown
Anneliese Brost,Germany,Europe,1921,Media,Non-Traded Sectors,Westdeutsche Allgemeine Zeitung,self-made,founder non-finance,female,Unknown,new
Anthony Bamford,United Kingdom,Europe,1946,Constrution,Non-Traded Sectors,JCB,inherited,inherited,male,inherited from father,new
Anthony O'Reilly,Ireland,Europe,1937,Media,Non-Traded Sectors,Independent News & Media,self-made,executive,male,Unknown,new
Anthony Pratt,Australia,North America,1961,Consumer,Traded Sectors,Pratt Industries/Visy Industries,inherited,inherited,male,inherited from father,new
Anthony Pritzker,United States,North America,1961,Real Estate,Financial,Hyatt,inherited,inherited,male,inherited from father,aquired
"Anton Kathrein, Jr.",Germany,Europe,1985,Consumer,Traded Sectors,Katherine Werke AG,inherited,inherited,male,Third generation,new
Anton Schlecker,Germany,Europe,1945,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Antonia Johnson,Sweden,Europe,1944,Money Management,Financial,Axel Johnson Group,inherited,inherited,female,Fourth generation,new
Antonio Champalimaud,Portugal,Europe,1919,Money Management,Financial,Maceira Liz,inherited,inherited,male,inherited from father,new
Antonio Ermirio de Moraes,Brazil,Latin America,1929,Non-consumer industrial,Traded Sectors,Votorantim Group,inherited,inherited,male,inherited from father,new
Antonio Jose Carneiro,Brazil,Latin America,1944,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Antonio Luiz Seabra,Brazil,Latin America,1943,Consumer,Traded Sectors,Natura Cosmeticos,self-made,founder non-finance,male,Unknown,new
Antti Herlin,Finland,Europe,1957,Non-consumer industrial,Traded Sectors,Kone Corporation,inherited,inherited,male,Fourth generation,aquired
Anu Aga,India,South Asia,1943,Other,other,Unknown,Unknown,Unknown,male,Unknown,Unknown
Anurag Dikshit,India,South Asia,1972,Technology-Computer,New Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Aras Agalarov,Russia,Europe,1956,Real Estate,Financial,Crocus International,self-made,self-made finance,male,Unknown,new
Archie Aldis Emmerson,United States,North America,1930,Mining and metals,Resource Related,Sierra Pacific Industries ,self-made,privatized and resources,male,Unknown,new
Aristotelis Mistakidis,Greece,Europe,1962,Mining and metals,Resource Related,Glencore Xstrata,self-made,privatized and resources,male,Unknown,new
Arkady Rotenberg,Russia,Europe,1952,Constrution,Non-Traded Sectors,"SGM Group, Mostotrest, TPS Avia",self-made,privatized and resources,male,Unknown,"new, privitization"
Arkady Volozh,Russia,Europe,1964,Technology-Computer,New Sectors,Yandex,self-made,founder non-finance,male,Unknown,new
Arne Wilhelmsen,Norway,Europe,1930,"Retail, Restaurant",Non-Traded Sectors,Royal Caribbean Cruises,inherited,inherited,male,inherited from father,new
Arnon Milchan,Israel,Middle East/North Africa,1945,Media,Non-Traded Sectors,New Regency Films,self-made,founder non-finance,male,Unknown,new
Arthur Blank,United States,North America,1943,"Retail, Restaurant",Non-Traded Sectors,Home Depot,self-made,founder non-finance,male,Unknown,new
Arthur Irving,Canada,North America,1930,Energy,Resource Related,Irving Oil,inherited,inherited,male,inherited from father,new
Arthur Rock,United States,North America,1927,Venture Capital,Financial,Davis & Rock,self-made,self-made finance,male,Unknown,new
Arthur Williams Jr,United States,North America,1943,Hedge funds,Financial,A.L. Williams & Associates,self-made,self-made finance,male,Unknown,new
Arturo Moreno,United States,North America,1947,Real Estate,Financial,Outdoor Systems,self-made,self-made finance,male,Unknown,new
Arzuhan Dogan Yalcindag,Turkey,Middle East/North Africa,Unknown,Media,Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Ashwin Dani,India,South Asia,1943,Consumer,Traded Sectors,Asian Paints,inherited,inherited,male,inherited from father,new
Asim Kibar,Turkey,Middle East/North Africa,1933,Non-consumer industrial,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Asok Kumar Hiranandani,Singapore,East Asia,1955,Real Estate,Financial,Royal Group Holdings,inherited,inherited,male,inherited from father,new
Aubrey McClendon,United States,North America,1959,Energy,Resource Related,Unknown,Unknown,Unknown,female,Unknown,Unknown
August Oetker,Germany,Europe,1945,Consumer,Traded Sectors,Oetker-Gruppe,inherited,inherited,male,Fourth generation,new
August von Finck,Germany,Europe,1931,Money Management,Financial,"Allianz, Merk Finck & Co",inherited,inherited,male,inherited from father,new
Augusto & Giorgio Perfetti,Italy,Europe,Unknown,Consumer,Traded Sectors,Perfetti Van Melle,inherited,inherited,male,inherited from father,new
Augusto and Giorgio Perfetti,Italy,Europe,Unknown,Consumer,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Austen Cargill,United States,North America,1951,Consumer,Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
"Austen Cargill, II.",United States,North America,1951,Money Management,Financial,Cargill,inherited,inherited,male,Third generation,new
Austin Hearst,United States,North America,1953,Media,Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
Axel Oberwelland,Germany,Europe,1967,Consumer,Traded Sectors,Storck,inherited,inherited,male,Fourth generation,new
Aydin Dogan,Turkey,Middle East/North Africa,1935,Media,Non-Traded Sectors,Dogan Holding,self-made,founder non-finance,male,Unknown,new
Ayhan Sahenk,Turkey,Middle East/North Africa,Unknown,Money Management,Financial,Dogus Holding,self-made,self-made finance,male,Unknown,new
Ayman Asfari,United Kingdom,Europe,1959,Energy,Resource Related,Petrofac,self-made,privatized and resources,male,Unknown,new
Ayman Hariri,Lebanon,Middle East/North Africa,1979,Constrution,Non-Traded Sectors,Saudi Oger,inherited,inherited,male,inherited from father,aquired
Azim Premji,India,South Asia,1946,Technology-Computer,New Sectors,Wipro Limited,inherited,inherited,male,inherited from father,new
B Ramalinga Raju,India,South Asia,Unknown,Technology-Computer,New Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
B Thomas Golisano,United States,North America,1942,"Retail, Restaurant",Non-Traded Sectors,Unknown,Unknown,Unknown,male,Unknown,Unknown
B. Wayne Hughes,United States,North America,1934,"Retail, Restaurant",Non-Traded Sectors,Public Storage,self-made,founder non-finance,male,Unknown,new
B.R. Shetty,India,South Asia,1942,Technology-Medical,New Sectors,New Medical Centre,self-made,founder non-finance,male,Unknown,new
Baba Kalyani,India,South Asia,1949,Other,other,Bharat Forge,inherited,inherited,male,inherited from father,new
